trace_id,family_id_group,ploidy,value_metric,baseline_value,final_value,peak_value,trough_value,time_to_peak,time_to_trough,auc_total,auc_early,auc_late,delta_auc_late_minus_early,late_early_auc_ratio,initial_slope,vmax,time_to_vmax,min_slope,time_to_min_slope,inflection_time,metabolic_scope,final_delta,depression_abs,metabolic_depression_index,resilience_ratio,stability_cv,trajectory_class,n_timepoints
20250826 plate1 F07,hnry,triploid,corrected_fc,0,0.8150186986700334,0.8233268783918051,0,3,0,2.5956945273909713,1.0187405089020203,1.576954018488951,0.5582135095869307,1.547944746193084,0.672622718139891,0.672622718139891,0.5,-0.008308179721771669,3.5,1.5,0.8233268783918051,0.8150186986700334,0.008308179721771669,0.010090985658089946,0.98990901434191,0.5706266711353034,rise_then_depress,5
20250826 plate1 F08,hnry,diploid,corrected_fc,0,0.9684584233920952,0.972293514265011,0,3,0,2.7652575396409116,0.9217594452212738,1.843498094419638,0.9217386491983641,1.9999774387742728,0.5347840767626945,0.5347840767626945,0.5,-0.0038350908729157807,3.5,1.5,0.972293514265011,0.9684584233920952,0.0038350908729157807,0.003944375660897886,0.9960556243391021,0.6233307635154431,rise_then_depress,5
20250826 plate2 A01,hnry,triploid,corrected_fc,0,0.63052218096669,0.63052218096669,0,4,0,1.7209899969803648,0.5791372489513833,1.1418527480289817,0.5627154990775984,1.9716444592304865,0.38271300002531405,0.38271300002531405,0.5,3.547723471224451e-4,3.5,1.5,0.63052218096669,0.63052218096669,0,0,1,0.633456085622234,monotonic_increase,5
20250826 plate2 A02,hnry,diploid,corrected_fc,0,1.2964741276319671,1.2964741276319671,0,4,0,3.233595242978792,0.9047935872530191,2.3288016557257727,1.4240080684727536,2.5738485424019037,0.4295274461828308,0.5210048359575457,1.5,0.09117567679236593,3.5,2.5,1.2964741276319671,1.2964741276319671,0,0,1,0.7078046891991016,monotonic_increase,5
20250826 plate2 A03,hnry,triploid,corrected_fc,0,0.6335265679644899,0.649466105787387,0,3,0,1.8990156775505755,0.6979328690647614,1.2010828084858143,0.5031499394210529,1.7209145201819769,0.4630794503485791,0.4630794503485791,0.5,-0.015939537822897032,3.5,1.5,0.649466105787387,0.6335265679644899,0.015939537822897032,0.02454252451492071,0.9754574754850793,0.5930608520001782,rise_then_depress,5
20250826 plate2 A04,hnry,diploid,corrected_fc,0,0.4889690075540629,0.4889690075540629,0,4,0,1.4903421144193725,0.5844111430039491,0.9059309714154233,0.3215198284114742,1.5501603319177326,0.3955246042155246,0.3955246042155246,0.5,-0.017751526638675408,1.5,1.5,0.4889690075540629,0.4889690075540629,0,0,1,0.5757615993861834,rise_then_depress,5
20250826 plate2 A05,hnry,triploid,corrected_fc,0,1.143405227001578,1.143405227001578,0,4,0,3.300530153613702,1.2130872078454247,2.0874429457682773,0.8743557379228526,1.7207690694190105,0.8393191079860326,0.8393191079860326,0.5,-0.09178290826724866,1.5,1.5,1.143405227001578,1.143405227001578,0,0,1,0.6042368825547417,rise_then_depress,5
20250826 plate2 A06,hnry,diploid,corrected_fc,0,0.74209837299175,0.7581867646211343,0,2,0,2.5001688455693105,1.0321425759257665,1.468026269643544,0.43588369371777747,1.4223095761036864,0.6530491936151993,0.6530491936151993,0.5,-0.04030306378403248,2.5,1.5,0.7581867646211343,0.74209837299175,0.016088391629384358,0.021219562751697098,0.9787804372483029,0.5633496459291389,rise_then_depress,5
20250826 plate2 A07,hnry,triploid,corrected_fc,0,0.8445772171702581,0.8445772171702581,0,4,0,2.363024380179271,0.82414635638757,1.538878023791701,0.7147316674041311,1.8672387639217025,0.5354416942611535,0.5354416942611535,0.5,0.01669246409010272,3.5,1.5,0.8445772171702581,0.8445772171702581,0,0,1,0.6135102607662594,monotonic_increase,5
20250826 plate2 B01,hnry,triploid,corrected_fc,0,0.5119599580438813,0.5397384866141515,0,2,0,1.6673547124909778,0.6638961609890791,1.0034585515018986,0.33956239051281945,1.5114691279535883,0.3940269176820034,0.3940269176820034,0.5,-0.062129157441269234,2.5,1.5,0.5397384866141515,0.5119599580438813,0.02777852857027019,0.05146664404928478,0.9485333559507152,0.576843359435394,rise_then_depress,5
