trace_id,live_dead_sampling,shell_height,shell_length,shell_width,cup,fan,whole_wet_weight,dry_shell_weight,dry_tissue_weight,condition_index,notes,length_mm,ploidy,survived,growth_abs,growth_log,yield_dtw,yield_www,perf_composite
20250826 plate2 A01,0,80.93,56.44,28.07,0.34684295069813414,0.6973928086000246,84.337,57.035,2.772,1.9375869899641043,NA,25.03,triploid,1,55.900000000000006,1.1735094780639277,2.772,84.337,50
20250826 plate2 B01,0,69.82,56.32,28.35,0.40604411343454605,0.8066456602692639,75.054,52.312,4.534,9.858411749186526,NA,27.65,triploid,1,42.169999999999995,0.9262947737085461,4.534,75.054,49.01960784313726
20250826 plate2 C01,1,63.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.38,triploid,0,NA,NA,0,0,NA
20250826 plate2 D01,0,73.64,55.89,31.56,0.42857142857142855,0.7589625203693645,84.327,54.19,4.809,8.544314298038955,NA,26.78,triploid,1,46.86,1.0115330161018505,4.809,84.327,52.94117647058824
20250826 plate2 E01,1,68.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.68,triploid,0,NA,NA,0,0,NA
20250826 plate2 F01,0,71.66,56,30.55,0.426318727323472,0.7814680435389338,78.372,55.081,4.852,11.158816710317291,NA,23.69,triploid,1,47.97,1.1068796937061136,4.852,78.372,78.43137254901961
20250826 plate2 A02,0,54.83,41.99,25.59,0.4667153018420573,0.765821630494255,42.785,31.588,3.176,8.145038849691888,NA,26.69,diploid,1,28.139999999999997,0.7199485259995242,3.176,42.785,28.57142857142857
20250826 plate2 B02,0,57.19,50.33,23.73,0.4149326805385557,0.8800489596083232,42.931,28.111,3.367,7.800269905533066,NA,22.66,diploid,1,34.53,0.9257778023273645,3.367,42.931,34.285714285714285
20250826 plate2 C02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.29,diploid,NA,NA,NA,NA,NA,NA
20250826 plate2 D02,0,58.55,52.32,28.96,0.49461998292058074,0.8935952177625961,67.064,40.711,3.957,6.249762835350815,NA,25.38,diploid,1,33.17,0.8359196277574846,3.957,67.064,12.857142857142856
20250826 plate2 E02,0,66.84,53.36,25.02,0.374326750448833,0.798324356672651,54.575,37.832,3.83,9.275518126978437,NA,18.43,diploid,1,48.410000000000004,1.288321932045461,3.83,54.575,84.28571428571429
20250826 plate2 F02,0,54.66,48,28.45,0.5204903036955727,0.8781558726673985,49.013,36.107,3.229,7.825817449248413,NA,23.32,diploid,1,31.339999999999996,0.8518208190176302,3.229,49.013,28.57142857142857
20250826 plate2 A03,1,47.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.21,triploid,0,NA,NA,0,0,NA
20250826 plate2 B03,0,79.68,63.9,29.12,0.365462,0.801958,98.155,69.19,5.577,11.61,NA,26.97,triploid,1,52.71000000000001,1.0832934761247044,5.577,98.155,91.1764705882353
20250826 plate2 C03,0,72.14,60.1,32.01,0.443721,0.833102,79.49,58.394,4.588,11.24,NA,22.05,triploid,1,50.09,1.185296073582538,4.588,79.49,88.23529411764706
20250826 plate2 D03,0,64.39,49.45,32.9,0.510949,0.767976,67.149,45.658,4.53,10.63,NA,26.92,triploid,1,37.47,0.8720888367735651,4.53,67.149,50
20250826 plate2 E03,0,69.86,49.35,26.62,0.381048,0.706413,64.113,43.77,3.798,7.63,NA,30.53,triploid,1,39.33,0.8277834326318995,3.798,64.113,21.568627450980394
