index_id,scale,feature,adjustment,absorbed_duplicates,completeness
fc_corr|value_4h|resid,fc_corr,value_4h,resid,NA,1
fc_corr|auc_0_1h|resid,fc_corr,auc_0_1h,resid,NA,1
fc_corr|auc_0_2h|resid,fc_corr,auc_0_2h,resid,NA,1
fc_corr|auc_0_3h|resid,fc_corr,auc_0_3h,resid,NA,1
fc_corr|frac_auc_first_half|resid,fc_corr,frac_auc_first_half,resid,NA,1
fc_corr_mm|final_value|resid,fc_corr_mm,final_value,resid,NA,1
fc_corr_mm|peak_value|resid,fc_corr_mm,peak_value,resid,NA,1
fc_corr_mm|auc_total|resid,fc_corr_mm,auc_total,resid,NA,1
fc_corr_mm|auc_early|resid,fc_corr_mm,auc_early,resid,NA,1
fc_corr_mm|auc_late|resid,fc_corr_mm,auc_late,resid,NA,1
fc_corr_mm|delta_auc_late_minus_early|resid,fc_corr_mm,delta_auc_late_minus_early,resid,NA,1
fc_corr_mm|initial_slope|resid,fc_corr_mm,initial_slope,resid,NA,1
fc_corr_mm|vmax|resid,fc_corr_mm,vmax,resid,NA,1
fc_corr_mm|min_slope|resid,fc_corr_mm,min_slope,resid,NA,1
fc_corr_mm|depression_abs|resid,fc_corr_mm,depression_abs,resid,NA,1
fc_corr_mm|rate_h2|resid,fc_corr_mm,rate_h2,resid,NA,1
fc_corr_mm|rate_h3|resid,fc_corr_mm,rate_h3,resid,NA,1
fc_corr_mm|rate_h4|resid,fc_corr_mm,rate_h4,resid,NA,1
fc_corr_mm|max_drop|resid,fc_corr_mm,max_drop,resid,NA,1
fc_corr_mm|lin_slope|resid,fc_corr_mm,lin_slope,resid,NA,1
fc_corr_mm|quad_coef|resid,fc_corr_mm,quad_coef,resid,NA,1
fc_corr_mm|mean_rate|resid,fc_corr_mm,mean_rate,resid,NA,1
fc_corr_mm|sat_asymptote|resid,fc_corr_mm,sat_asymptote,resid,NA,0.975609756097561
fc_corr_mm|sat_k|resid,fc_corr_mm,sat_k,resid,NA,0.975609756097561
