index_id,selection_freq,phenotype,stratum,family,k,scale,feature,adjustment
raw_rfu|n_negative_intervals|none,0.15,condition_index,pooled_adj,all,5,raw_rfu,n_negative_intervals,none
fc_corr|late_early_auc_ratio|resid,0.14,condition_index,pooled_adj,all,5,fc_corr,late_early_auc_ratio,resid
raw_delta|late_early_auc_ratio|resid,0.11,condition_index,pooled_adj,all,5,raw_delta,late_early_auc_ratio,resid
raw_delta|stability_cv|resid,0.11,condition_index,pooled_adj,all,5,raw_delta,stability_cv,resid
fc_corr|stability_cv|resid,0.09,condition_index,pooled_adj,all,5,fc_corr,stability_cv,resid
raw_rfu|inflection_time|resid,0.09,condition_index,pooled_adj,all,5,raw_rfu,inflection_time,resid
fc_corr|depression_abs|resid,0.08,condition_index,pooled_adj,all,5,fc_corr,depression_abs,resid
raw_rfu|auc_0_3h|none,0.07,condition_index,pooled_adj,all,5,raw_rfu,auc_0_3h,none
raw_delta_mm|depression_abs|none,0.06,condition_index,pooled_adj,all,5,raw_delta_mm,depression_abs,none
raw_delta|frac_auc_first_half|resid,0.06,condition_index,pooled_adj,all,5,raw_delta,frac_auc_first_half,resid
raw_rfu|auc_0_2h|none,0.06,condition_index,pooled_adj,all,5,raw_rfu,auc_0_2h,none
fc_corr_mm|rate_h3|resid,0.05,condition_index,pooled_adj,all,5,fc_corr_mm,rate_h3,resid
raw_rfu|auc_early|none,0.05,condition_index,pooled_adj,all,5,raw_rfu,auc_early,none
raw_rfu|depression_abs|resid,0.05,condition_index,pooled_adj,all,5,raw_rfu,depression_abs,resid
raw_rfu|time_to_vmax|none,0.05,condition_index,pooled_adj,all,5,raw_rfu,time_to_vmax,none
fc_corr_mm|depression_abs|none,0.04,condition_index,pooled_adj,all,5,fc_corr_mm,depression_abs,none
fc_corr_mm|sat_asymptote|resid,0.04,condition_index,pooled_adj,all,5,fc_corr_mm,sat_asymptote,resid
raw_delta|value_2h|none,0.04,condition_index,pooled_adj,all,5,raw_delta,value_2h,none
raw_rfu|auc_0_1h|none,0.04,condition_index,pooled_adj,all,5,raw_rfu,auc_0_1h,none
raw_rfu|baseline_value|none,0.04,condition_index,pooled_adj,all,5,raw_rfu,baseline_value,none
raw_rfu|resilience_ratio|resid,0.04,condition_index,pooled_adj,all,5,raw_rfu,resilience_ratio,resid
raw_rfu|value_2h|none,0.04,condition_index,pooled_adj,all,5,raw_rfu,value_2h,none
fc_corr|metabolic_depression_index|resid,0.03,condition_index,pooled_adj,all,5,fc_corr,metabolic_depression_index,resid
raw_delta|auc_0_2h|none,0.03,condition_index,pooled_adj,all,5,raw_delta,auc_0_2h,none
raw_rfu|late_early_auc_ratio|resid,0.03,condition_index,pooled_adj,all,5,raw_rfu,late_early_auc_ratio,resid
raw_rfu|time_to_min_slope|none,0.03,condition_index,pooled_adj,all,5,raw_rfu,time_to_min_slope,none
fc_corr|frac_auc_first_half|resid,0.02,condition_index,pooled_adj,all,5,fc_corr,frac_auc_first_half,resid
fc_corr|quad_coef|none,0.02,condition_index,pooled_adj,all,5,fc_corr,quad_coef,none
fc_corr|rate_h2|resid,0.02,condition_index,pooled_adj,all,5,fc_corr,rate_h2,resid
fc_corr|rate_h3|resid,0.02,condition_index,pooled_adj,all,5,fc_corr,rate_h3,resid
fc_corr|resilience_ratio|resid,0.02,condition_index,pooled_adj,all,5,fc_corr,resilience_ratio,resid
raw_delta|auc_0_3h|none,0.02,condition_index,pooled_adj,all,5,raw_delta,auc_0_3h,none
raw_rfu|delta_auc_late_minus_early|none,0.02,condition_index,pooled_adj,all,5,raw_rfu,delta_auc_late_minus_early,none
raw_rfu|depression_abs|none,0.02,condition_index,pooled_adj,all,5,raw_rfu,depression_abs,none
raw_rfu|n_negative_intervals|resid,0.02,condition_index,pooled_adj,all,5,raw_rfu,n_negative_intervals,resid
