phenotype,value_metric,feature,family_id_group,n,mean,sd,se,median,iqr
low-salinity,corrected_fc,baseline_value,47,27,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,48,23,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,49,27,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,50,27,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,51,28,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,54,16,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,55,23,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,57,26,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,60,27,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,61,27,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,70,27,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,71,25,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,72,26,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,74,26,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,76,24,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,77,24,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,78,17,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,79,31,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,80,27,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,82,21,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,83,26,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,84,25,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,85,24,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,88,20,0,0,0,0,0
low-salinity,corrected_fc,baseline_value,90,23,0,0,0,0,0
low-salinity,corrected_fc,delta_auc_late_minus_early,47,27,3.9742597658197396,2.1683411574805906,0.41729745032212123,4.021371251116194,2.5235313858857618
low-salinity,corrected_fc,delta_auc_late_minus_early,48,23,6.518581903846735,3.0818464514497546,0.6426094070379207,5.814272514196599,3.2805621632002477
low-salinity,corrected_fc,delta_auc_late_minus_early,49,27,5.7008694110995535,3.193991606433372,0.6146839712545709,4.315428602657117,5.796192811297807
low-salinity,corrected_fc,delta_auc_late_minus_early,50,27,4.070905961767976,2.184554310102674,0.42041767299904537,3.931615923281056,1.7198010801826573
low-salinity,corrected_fc,delta_auc_late_minus_early,51,28,3.719706942074308,2.18117279949076,0.41220291385079294,3.2974919841180625,2.563061957814026
low-salinity,corrected_fc,delta_auc_late_minus_early,54,16,7.007630910301894,1.9420458638306985,0.48551146595767464,7.396212151216101,2.777329475773473
low-salinity,corrected_fc,delta_auc_late_minus_early,55,23,3.3564669570315098,2.1275079289664145,0.44361606921021257,2.7006746931978842,1.8355526525313817
low-salinity,corrected_fc,delta_auc_late_minus_early,57,26,3.5208126596856664,2.94859239584811,0.5782665447715698,2.411730442119182,2.735798935807141
low-salinity,corrected_fc,delta_auc_late_minus_early,60,27,3.188355145912041,2.6182688132560585,0.5038860680480625,2.5400901522555808,3.3688558964976494
low-salinity,corrected_fc,delta_auc_late_minus_early,61,27,3.319375500989206,2.397370006224781,0.4613740728136707,2.4900078984191687,1.7455391122152972
low-salinity,corrected_fc,delta_auc_late_minus_early,70,27,2.823671266521164,2.270211475915824,0.4369024022457928,2.0136056315536295,1.8241689879838539
low-salinity,corrected_fc,delta_auc_late_minus_early,71,25,3.3771265672146633,1.739928485674542,0.3479856971349084,2.755412532970598,1.3603410537986491
low-salinity,corrected_fc,delta_auc_late_minus_early,72,26,4.590220096837183,2.8704884287593484,0.562949096607162,4.360007859522603,3.058755158813081
